,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs
1267,2G0757649+0035573,75.765,0.3557,0.94,1.08,0.79,0.95,0.4,68,99,0.68,0.01,0.09,C,,,G075.768+00.344,3.8,,305.4077,37.4371
1268,2G0758429+0036690,75.8429,0.3669,0.28,0.6,0.49,0.55,0.19,48,81,0.59,0.09,0.18,R,,,G075.844+00.359,1.5,,305.4521,37.5075
1269,2G0758992+0035684,75.8992,0.3569,0.34,1.2,0.67,0.97,0.11,168,64,0.83,,0.21,C,,,G075.890+00.358,,,305.5029,37.5481
1270,2G0761384-0030183,76.1384,-0.3018,0.86,1.79,1.38,1.6,0.55,30,101,0.63,0.16,0.38,R,,,G076.139-00.303,,,306.3553,37.3658
1271,2G0761874+0054827,76.1875,0.5483,1.09,2.1,1.57,1.85,0.7,40,91,0.66,0.12,0.25,R,,,G076.199+00.548,1.5,,305.512,37.8941
1272,2G0761975+0009046,76.1976,0.0905,1.66,1.73,1.26,1.52,0.82,67,113,0.68,0.06,0.18,R,,,G076.197+00.092,1.5,,305.9942,37.6402
1273,2G0763066-0066423,76.3067,-0.6642,0.23,0.93,0.64,0.8,0.27,101,116,0.73,0.11,0.16,R,,,G076.309-00.667,,,306.8494,37.2928
1274,2G0763871-0061181,76.3872,-0.6118,1.19,2.02,0.97,1.58,0.64,65,71,0.88,0.08,0.33,R,,,G076.384-00.621,1.3,,306.8547,37.3887
1275,2G0765436+0197200,76.5437,1.972,0.44,1.42,1.07,1.26,0.26,137,86,0.65,0.07,0.09,C,,,G076.545+01.957,,,304.2688,38.9921
1276,2G0769073+0204564,76.9073,2.0456,0.62,3.35,3.09,3.22,0.44,62,110,0.38,0.15,0.24,R,D,,G076.917+02.054,1.5,,304.4525,39.3344
1277,2G0769552+0181073,76.9552,1.8107,4.64,19.25,14.29,16.96,3.14,78,130,0.67,,0.14,C,P,,G076.951+01.718,1.5,,304.7383,39.242
1278,2G0771236+0195592,77.1236,1.9559,0.37,1.49,1.15,1.33,0.2,108,110,0.63,,0.16,C,D,,,,,304.7057,39.4628
1279,2G0771420+0218897,77.142,2.189,0.81,1.87,1.36,1.64,0.38,138,110,0.68,0.01,0.21,R,,,,,,304.469,39.609
1280,2G0774273-0001360,77.4274,-0.0136,0.39,1.0,0.8,0.9,0.3,31,84,0.6,0.16,0.24,R,,,G077.431-00.015,,,307.0071,38.5826
1281,2G0774339+0167929,77.4339,1.6793,0.55,2.29,1.7,2.01,0.38,175,167,0.67,0.14,0.28,R,,,G077.421+01.685,1.5,,305.2287,39.5624
1282,2G0774575+0177287,77.4576,1.7729,1.36,1.43,1.17,1.31,0.34,101,83,0.57,0.12,0.18,R,,,G077.463+01.760,1.5,,305.1461,39.6349
1283,2G0776050+0055412,77.605,0.5541,0.3,0.7,0.51,0.61,0.3,174,117,0.68,0.12,0.09,C,,,G077.608+00.554,,,306.5468,39.0572
1284,2G0778938+0167673,77.8938,1.6767,0.65,2.52,2.03,2.29,0.4,174,86,0.59,0.04,0.12,C,,,G077.926+01.678,1.5,,305.5717,39.9389
1285,2G0779686+0000279,77.9686,0.0028,0.75,2.08,1.52,1.82,0.68,18,109,0.68,0.13,0.23,R,,,G077.977-00.004,1.5,,307.3965,39.0311
1286,2G0780301+0061158,78.0301,0.6116,0.61,3.1,2.3,2.73,0.55,2,58,0.67,0.08,0.28,R,,,G078.032+00.606,1.5,,306.805,39.4367
1287,2G0781496+0182640,78.1496,1.8264,0.88,2.25,1.76,2.02,0.47,97,106,0.63,0.08,0.18,R,,,G078.147+01.820,1.5,,305.6016,40.2343
1288,2G0781504-0054972,78.1504,-0.5497,0.28,2.46,2.02,2.25,0.26,68,101,0.57,0.26,0.17,R,,,G078.174-00.550,1.5,,308.1079,38.8518
1289,2G0781849-0032307,78.185,-0.3231,1.02,5.65,4.46,5.09,0.81,38,96,0.61,0.21,0.3,R,,,G078.177-00.363,1.5,,307.8995,39.0139
1290,2G0783661+0278624,78.3662,2.7862,1.39,8.73,5.6,7.33,1.15,73,102,0.77,0.12,0.45,R,,,G078.378+02.785,1.5,,304.7214,40.9564
