,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs,id
2G0020120-0068213,2.012,-0.6821,0.11999999731779099,0.5299999713897705,0.4699999988079071,0.5,0.14000000059604645,26,84,0.4399999976158142,0.4399999976158142,0.23000000417232513,R,,1G002011-006818,G002.009-00.680,,CN28,268.2442,-27.5619,0
2G0021660+0000943,2.166,0.0094,0.029999999329447746,0.20000000298023224,0.18000000715255737,0.1899999976158142,0.07000000029802322,169,30,0.47999998927116394,,0.18000000715255737,C,,,G002.164+00.010,,,267.6633,-27.0767,1
2G0022683+0024069,2.2683,0.2407,0.7699999809265137,2.7899999618530273,2.0999999046325684,2.4700000286102295,0.44999998807907104,50,91,0.6600000262260437,,0.2800000011920929,C,,1G002270+002402,G002.272+00.237,,,267.4993,-26.8702,2
2G0023153+0024455,2.3153,0.2446,0.23000000417232513,0.8199999928474426,0.5799999833106995,0.7099999785423279,0.17000000178813934,28,103,0.7099999785423279,0.18000000715255737,0.11999999731779099,R,,,,,,267.5226,-26.8279,3
2G0023189-0014641,2.3189,-0.1464,0.20000000298023224,0.9100000262260437,0.8100000023841858,0.8600000143051147,0.11999999731779099,43,57,0.46000000834465027,,0.14000000059604645,C,,1G002319-001476,G002.317-00.149,,,267.9014,-27.025,4
2G0023739-0005297,2.3739,-0.053,0.15000000596046448,0.5199999809265137,0.3799999952316284,0.44999998807907104,0.07999999821186066,13,68,0.6700000166893005,0.2199999988079071,0.1599999964237213,R,,1G002374-000491,G002.374-00.053,,,267.8428,-26.93,5
2G0024160+0007501,2.4161,0.075,0.6800000071525574,1.1299999952316284,0.8500000238418579,1.0,0.4000000059604645,13,82,0.6600000262260437,0.14000000059604645,0.10000000149011612,R,,1G002420+000786,G002.418+00.078,,CN29,267.7437,-26.8282,6
2G0024408+0048004,2.4408,0.48,0.17000000178813934,0.9900000095367432,0.8600000143051147,0.9300000071525574,0.23999999463558197,20,76,0.5,0.5,0.3799999952316284,R,,1G002441+004805,G002.440+00.479,,CN30,267.3686,-26.5993,7
2G0024521+0013755,2.4522,0.1376,0.14000000059604645,0.6000000238418579,0.46000000834465027,0.5299999713897705,0.10000000149011612,27,117,0.6499999761581421,,0.12999999523162842,C,,1G002452+001373,G002.451+00.136,,,267.7041,-26.7652,8
2G0025156-0013932,2.5156,-0.1393,0.41999998688697815,1.5299999713897705,1.340000033378601,1.440000057220459,0.2199999988079071,56,135,0.47999998927116394,0.1599999964237213,0.28999999165534973,R,,1G002517-001367,G002.516-00.141,,CN32,268.0071,-26.8522,9
2G0025192-0002610,2.5193,-0.0261,0.27000001072883606,1.3600000143051147,1.2000000476837158,1.2899999618530273,0.17000000178813934,24,132,0.4699999988079071,0.1599999964237213,0.23999999463558197,R,,1G002520-000238,G002.521-00.024,,CN31,267.9001,-26.7912,10
2G0025848-0000801,2.5848,-0.008,0.09000000357627869,0.5699999928474426,0.38999998569488525,0.49000000953674316,0.05000000074505806,172,64,0.7300000190734863,,0.14000000059604645,C,,1G002585-000053,G002.584-00.008,,,267.9201,-26.7257,11
2G0025928+0000502,2.5928,0.005,0.03999999910593033,0.20999999344348907,0.14000000059604645,0.18000000715255737,0.029999999329447746,36,91,0.7200000286102295,,0.2199999988079071,C,,,,,,267.9122,-26.7121,12
2G0026063+0018069,2.6063,0.1807,0.4300000071525574,1.2999999523162842,0.9800000190734863,1.149999976158142,0.25,25,94,0.6600000262260437,0.10000000149011612,0.17000000178813934,R,,,G002.600+00.174,,CN33,267.7509,-26.6107,13
2G0026814+0001645,2.6814,0.0165,0.10999999940395355,0.9399999976158142,0.7300000190734863,0.8399999737739563,0.10999999940395355,95,59,0.6299999952316284,,0.12999999523162842,C,,1G002680+000221,G002.681+00.011,,,267.9517,-26.6301,14
2G0026964+0003216,2.6965,0.0322,0.09000000357627869,0.46000000834465027,0.3100000023841858,0.38999998569488525,0.05999999865889549,5,57,0.7300000190734863,0.23000000417232513,0.12999999523162842,R,,1G002696+000354,G002.696+00.033,,CN34,267.9453,-26.6091,15
2G0026995-0005662,2.6995,-0.0566,0.1899999976158142,0.30000001192092896,0.25,0.2800000011920929,0.12999999523162842,176,78,0.5400000214576721,0.05999999865889549,0.12999999523162842,R,,,,,,268.0324,-26.6518,16
2G0027733+0010656,2.7734,0.1066,0.1599999964237213,0.47999998927116394,0.3799999952316284,0.4300000071525574,0.11999999731779099,179,81,0.6299999952316284,0.11999999731779099,0.23000000417232513,R,,1G002773+001072,G002.773+00.107,,CN35,267.9176,-26.505,17
2G0028894-0004549,2.8894,-0.0455,0.4300000071525574,2.9000000953674316,2.109999895095825,2.5399999618530273,0.25999999046325684,52,30,0.6899999976158142,,0.18000000715255737,C,,1G002894-000458,G002.889-00.044,,,268.1299,-26.4827,18
2G0029616-0005086,2.9617,-0.0509,0.09000000357627869,0.41999998688697815,0.3799999952316284,0.4000000059604645,0.15000000596046448,17,99,0.46000000834465027,0.3499999940395355,0.33000001311302185,R,,1G002962-000501,G002.961-00.053,,CN36,268.1762,-26.4232,19
2G0032101-0010494,3.2101,-0.105,0.05000000074505806,0.25999999046325684,0.1599999964237213,0.2199999988079071,0.03999999910593033,17,65,0.800000011920929,0.25,0.18000000715255737,R,D,,,,CN37,268.369,-26.2368,20
2G0032155-0010920,3.2156,-0.1092,0.20999999344348907,0.550000011920929,0.41999998688697815,0.49000000953674316,0.10999999940395355,30,71,0.6600000262260437,0.1599999964237213,0.17000000178813934,R,P,1G003214-001080,,,CN38 CN37,268.3761,-26.2342,21
2G0032285-0009293,3.2286,-0.0929,0.41999998688697815,1.3600000143051147,0.9300000071525574,1.159999966621399,0.2199999988079071,173,104,0.7300000190734863,0.07000000029802322,0.09000000357627869,C,,,,,,268.3678,-26.2147,22
2G0032853-0005691,3.2854,-0.0569,1.2599999904632568,3.490000009536743,2.7200000286102295,3.130000114440918,0.8600000143051147,63,114,0.6299999952316284,0.18000000715255737,0.3700000047683716,R,P,1G003273-000593,G003.266-00.061,,CN39,268.3654,-26.1475,23
2G0033193-0002967,3.3194,-0.0297,0.09000000357627869,0.3799999952316284,0.23999999463558197,0.3199999928474426,0.09000000357627869,25,86,0.7900000214576721,0.23999999463558197,0.1899999976158142,R,D,1G003320-000258,G003.318-00.030,,CN39,268.3585,-26.1044,24
2G0033910+0088220,3.3911,0.8822,0.3400000035762787,0.6399999856948853,0.5,0.5699999928474426,0.2800000011920929,34,117,0.6200000047683716,0.1599999964237213,0.1599999964237213,R,,1G003392+008807,G003.391+00.883,,CN40,267.5277,-25.5774,25
2G0035672+0005046,3.5672,0.0505,0.11999999731779099,0.4399999976158142,0.3700000047683716,0.4000000059604645,0.07000000029802322,9,100,0.5299999713897705,,0.1899999976158142,C,,1G003567+000524,G003.570+00.050,,,268.4215,-25.8501,26
2G0036051-0021322,3.6052,-0.2132,0.47999998927116394,1.690000057220459,1.5,1.600000023841858,0.47999998927116394,35,106,0.46000000834465027,0.18000000715255737,0.3499999940395355,R,,1G003606-002144,G003.607-00.209,,CN42,268.6956,-25.9509,27
2G0036516-0011781,3.6516,-0.1178,0.36000001430511475,0.8600000143051147,0.6700000166893005,0.7699999809265137,0.3799999952316284,15,124,0.6299999952316284,0.3199999928474426,0.2800000011920929,R,,1G003653-001171,G003.650-00.122,,CN43,268.6302,-25.8626,28
2G0036650-0009805,3.665,-0.0981,0.09000000357627869,0.27000001072883606,0.20999999344348907,0.23999999463558197,0.05999999865889549,62,98,0.6399999856948853,0.17000000178813934,0.3199999928474426,R,,,G003.664-00.098,,CN44,268.6189,-25.8411,29
2G0036757-0010030,3.6757,-0.1003,0.05000000074505806,0.20999999344348907,0.1899999976158142,0.20000000298023224,0.029999999329447746,24,63,0.44999998807907104,0.23999999463558197,0.23000000417232513,R,,1G003676-000998,G003.676-00.100,,CN45,268.627,-25.833,30
2G0037201-0022807,3.7201,-0.2281,0.7400000095367432,1.9800000190734863,1.6100000143051147,1.7999999523162842,0.550000011920929,40,138,0.5799999833106995,0.05999999865889549,0.25,R,,1G003720-002258,G003.716-00.225,,CN46,268.7745,-25.8592,31
2G0037405+0002309,3.7405,0.0231,0.07000000029802322,0.2199999988079071,0.20000000298023224,0.20999999344348907,0.07999999821186066,8,100,0.4300000071525574,0.3199999928474426,0.1899999976158142,R,,,G003.741+00.023,,CN47,268.5452,-25.7146,32
